Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Technical recruiter,5.0,2021-08-27,Current employee,"There is a great company culture here at Bolt  a lot of this stems from our CEO, Ryan Breslow, and his progressive attitude towards hiring and keeping employees happy and productive  he's even gone so far as to carve out a playbook for other companies to followThere are a lot of opportunities for growth, ownership, and impact here at Bolt. We are a rapidly growing company that provides employees with autonomy and trust to do our jobs well. Leadership is amazing, coming from many large ecomm companies that bring years of relevant experience in the space and are always working to ensure that employees have the tools they need in order to be successful.Wins here are teamwide with support coming from all members of the company and constantly being shared on different slack channels.",None that I can think of so far. Right now with COVID we aren't doing inperson activities and a majority of employees are fully remote so I am definitely looking forward to meeting everyone in person at an allhands once COVID situation improves.,Bolt
Operations,5.0,2019-05-20,"Current employee, less than 1 year","The fast pace of decisionmaking, relatively flat structure and the hypergrowth of the company create a lot of opportunities for impact and exposure.  Management is highly responsive to feedback and a lot of decisions / accountability are delegated.  There has been a heavy investment in building out a culture that prioritizes writing over speaking to ensure all voices are heard and that we aren't held back by tribal knowledge.  Management values the team and pay, perks and career growth are all structured to ensure we are a highly competitive workplace.  The team is strong and many members bring with them experience from leading tech companies Google, Twitter, Facebook, Uber, AirBnB, etc, payments companies Adyen, Braintree, Worldpay, Marqeta, etc, consulting firms and universities Stanford, MIT, CMU, etc..","We have very ambitious goals and move at a quick pace so you need to be comfortable with ambiguity and uncertainty to succeed here.  Given the stage of the company, there is not a ton of formal training or onboarding so you need to be selfmotivated and proactive to get fully up to speed.",Bolt
Product marketing,5.0,2021-09-17,"Current employee, more than 1 year","Ryan Breslow is a phenomenal culture and tech leader. Bolt has the most transparent and progressive culture I've ever been a part of  conscious culture is a big movement and defines the way we work and interact. The organization is extremely focused and organized, we move FAST but there's nothing standing in the way of getting sht done, which is awesome. People are smart, humble, hard working and thoughtful; and our investors are super engaged and incredibly helpful across the board with just about everything: market research, message development, campaign designs, you name it. It's exciting coming to work every day and feeling inspired by team mates and the leadership. Ryan is a true mensch.",Absolutely no cons at the moment :,Bolt
Product marketing manager,2.0,2022-06-13,Former employee,"Nice, kind people who are authentic and hardworking","Definitely still a start up environment. For a company that’s supposed to be worth $11B it operates like a company worth a fraction of that. Roles aren’t clear, strategy isn’t clear, odd acquisitions with no plans for implementation. Long hours with leadership that has no idea where to take the company. The technology is nothing other worldly and it’s quite basic. You basically manage yourself and hope things work out.",Bolt
Support analyst,5.0,2022-02-27,"Current employee, more than 1 year","4 day work week  no really...they push for you to be completely offline on fridays..no meetings, no exaggerations! competitive pay and work from home incentivesthey really truly care about your mental healtheveryone is genuine and supportivemanagement always listens to and is open to changes / suggestions",the company is expanding at an unprecedented rate and we're changing processes and scaling for growth so it comes with your usual growing pains of trial and error but its all worth it!,Bolt
Vice president engineering,5.0,2021-09-09,"Current employee, less than 1 year", Everyone here is super smart. The talent caliber is really high Company is growing really fast. This brings its own set of challenges but it's good to have growth challenges than otherwise. People genuinely care about each other. Company cares about employee wellbeing a lot strong emphasis on diversity and inclusion. fast paced culture. You will learn a lot and you will build a lot., Bolt is going through some of the familiar challenges that a hyper growth company goes through.,Bolt
Marketing,5.0,2021-09-10,"Current employee, less than 1 year","Bolt's conscious culture is amazing and the company truly walks the talk. It empowers you to have a big impact when you're at work. And it enables you to truly take care of yourself when you're off. Plus, the company is super fastpaced unlike others who say they are but in reality, move slower than slow.","Not really a con but sometimes the fast pace means you'll get highpriority ad hoc projects send your way that need to be launched within 24 hours without prior notice. It can derail your day or week, but it also keeps your work fun and exciting.",Bolt
People operations,4.0,2020-02-10,"Current employee, less than 1 year",Bolt often deals in big problem and wants everyone to take them on. This means you'll grow your skill set while you're here and get up close and personal with the parts of the business that move the needle and make a big impact.,There isn't always a clear path to a promotion and hard work can take a while to get recognized. However Bolt does recognize great work.,Bolt
Engineer,5.0,2018-01-12,"Current employee, less than 1 year"," Great office atmosphere that is conducive to getting work done. Team and founders are focused on building an amazing product. Amazing talent; they only hire the best of the best. Great company culture no ego zone. Opportunity to take ownership of your area of interest. Great benefits meals, drinks, snacks, healthcare, team events, sports league, etc.","None that I can think of.  If you are looking to work at a start up with huge upside, you found it!",Bolt
Sales representative,1.0,2020-02-21,"Former employee, more than 1 year",There's a bunch of great benefits,"Bolt has a very set foundation when it comes to their values but THEY are not followed in salt lake. The managers in the sales org are toxic and have unrealistic goals. They don't reward top performers, they promote the people that fake everything. They do not appreciate you and will never treat you as a priority. This is one of those startups that's built to fail. It was good at first...now it's terrible. STAY AWAY from the BDR team",Bolt
