Job Title,Job Ratings,time,JobStatus,Pros,Cons
Senior engineer,1.0,"Nov 17, 2014","Current employee, more than 1 year",Onboarding only took a month and I did it on my own,"Back stabbing, deceit, racist, sexist culture. Most devious and self promoting engineers win. If you want to do good engineering work then go somewhere else. If you love politics and outsmarting your peers then this is the place for you."
Director,5.0,"Dec 4, 2014",Current employee,"Reputation for excitement, innovation, big challenges and rewards","Infighting, duplicity, bureaucracy, silos, self serving behaviors"
Consumer services advisor,4.0,"Mar 6, 2015","Current employee, more than 3 years","Great benefits, good flexibility with availability. Competitive pay.",It's retail. Politics play a huge part in promotions. Transitioning to corporate is tough.
Anonymous employee,5.0,"Apr 15, 2015",Former employee,Microsoft has a stimulating work environment. The constant challenge and the impact of your work on millions of user make it totally worth it. Free drinks and snacks..,Technology was forced into without much attention to the user experience. But that has changed considerable over the years.
Anonymous employee,5.0,"Jul 11, 2015",Current employee,"Benefits are progressive, with a focus on wellness and preventative care. Lots of family oriented assistance as well. Team members are smart and collaborative.","Microsoft will take every hour of your time if you let them, it takes discipline and work to maintain balance between personal and professional life, but that's the case anywhere these days."
Anonymous employee,4.0,"Aug 2, 2015",Former employee,"1. Lots of experienced engineers to learn from.
2. Large scale project to contribute to, so one can learn how a large scale project is run
3. Well delineated career path","1. Company getting more irrelevant from tech industry every day
2. Lots of re-organization reflecting lack of clear strategy from upper management.
3. Technology learned may become more and more irrelevant from the rest of the trend."
Anonymous employee,3.0,"Aug 18, 2015",Former employee,"Great Talent , Socially connected Company and employee love their benefits.","Junior Executives and Managers are risks adverse, more people like status quote than taking risks, Employees true potentials are under utilized."
Anonymous employee,3.0,"Sep 1, 2015","Former employee, more than 1 year","Potential of good bonuses. The company is doing good, but you have to be on the right division. The Hardware business is struggling, but the other areas have better growth potential.","Everything is too ""Redmond, WA"" centric. So, if you are not willing to relocate, it may be hard to get the nicest, or higher visibility positions"
Enterprise strategy consultant,4.0,"Sep 17, 2015","Former employee, less than 1 year","Worked in Microsoft Consulting Services.   Lots of opportunities to learn, company very focused on customer satisfaction.   Very interesting assignments.   Lots of responsibility thrown at you from the first day of work.   Overall, I recommend the company.","Lots of administrative tasks to complete, such as time reporting, compliance training"
Principal group program manager,3.0,"Oct 2, 2015","Former employee, more than 5 years","xbox was great when growing, lots of accountability, gamers in charge",now run by windows lifers and people who just dont get gaming.  Only good guy left is Phil Spencer but even he cannot keep the Windows GMs at bay in their effort to absorb the last fun thing about mincrosoft
User experience designer ii,5.0,"Oct 2, 2015",Current employee,"Amazing benefits for a U.S. company! Great 401k matching, quantity of vacation days, maternity/paternity leave, etc.","I can't think of any 'cons' other than issues that all companies can have: 
- in my particular org, I'm not very happy with the decisions that management makes.
- the layoffs have been hard to swallow over the last couple years."
Service engineer ii,5.0,"Oct 21, 2015","Current employee, more than 5 years","The most flexible place I have ever worked, great co-workers, great experience. I made the mistake once of leaving for another company, I returned after year.","As with every company, there are some bad seeds.  The bad seeds I have run into here are the worst I have ever seen in my life."
Anonymous employee,3.0,"Jan 14, 2016","Former employee, more than 3 years","Work-life balance is great, many business units means many job opportunities to move around to.",Long-term employees are not very motivated or brilliant. Politics between business units is intense and back-biting is common.
Program manager,4.0,"Feb 3, 2016","Former employee, more than 1 year",They really take care of their employees. People are really smart. You can learn a lot while working there. XXXXX.,"The stack ranking sucked. Too much focus on ""visibility"". The new management appears to be changing a lot of the culture, thankfully."
Anonymous employee,5.0,"Feb 11, 2016",Current employee,"You control your own time, can work from home, amazing resources, pay well.  I had high hopes when I starting working at Microsoft and in my two years it is better than I hoped!",I have so much fun learning all the almost-daily new products or new features that I have to pull myself away to maintain a work-life balance
